internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
,,,,,,,,,,,,,"(Linnaeus, 1758)",<em>A. cygnoid</em>&#160;(del Hoyo and Collar 2014) was previously listed as&#160;<em>A. cygnoides</em>.
22689809,Antrostomus noctitherus,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Antrostomus,noctitherus,,,,,"(Wetmore, 1919)",<em>Antrostomus   noctitherus</em> (del Hoyo and Collar 2014) was previously placed in the genus   <em>Caprimulgus</em>.
22693225,Tringa guttifer,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,guttifer,,,,,"(Nordmann, 1835)",
22698691,Pitta megarhyncha,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PITTIDAE,Pitta,megarhyncha,,,,,"Schlegel, 1863",
22695185,Necrosyrtes monachus,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Necrosyrtes,monachus,,,,,"(Temminck, 1823)",
22704154,Notiomystis cincta,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NOTIOMYSTIDAE,Notiomystis,cincta,,,,,"(Du Bus, 1839)",
45353580,Apteryx mantelli,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,APTERYGIDAE,Apteryx,mantelli,,,,,"Bartlett, 1851","<em>Apteryx</em><em><em> australis</em></em><em><em><em></em>, <em>A.</em> </em> mantelli</em><em> </em>and <em>A. rowi </em>(del Hoyo and Collar 2014) were previously treated as <em>A.</em><em><em> australis</em></em><em><em><em></em></em></em> and <em>A. mantelli</em> (incorporating <em>rowi</em>)  following Baker <em>et al.</em> (1995); prior to that all three taxa were lumped as <em>A. australis</em> following Sibley and Monroe (1990, 1993)."
22690985,Gallicolumba platenae,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Gallicolumba,platenae,,,,,"(Salvadori, 1891)",
22680380,Aythya innotata,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya,innotata,,,,,"(Salvadori, 1894)",
22691030,Alopecoenas erythropterus,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas,erythropterus,,,,,"(Gmelin, 1789)",<em>Alopecoenas erythropterus</em>&#160;(del Hoyo and Collar 2014) was previously placed in the genus&#160;<em>Gallicolumba</em>&#160;as&#160;<em>G. erythroptera</em>.
103771879,Artisornis moreaui,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CISTICOLIDAE,Artisornis,moreaui,,,,,"(W.L. Sclater, 1931)","<p><em>Artisornis moreaui </em>and<em> A. sousae</em> (del Hoyo and Collar 2016) were previously lumped as <em>A. moreaui</em> following Dowsett &amp; Forbes-Watson (1993) and Sibley &amp; Monroe (1990, 1993).</p>"
